,year,month,ONI_total,ONI_climAdjust,ONI_anom
0,1950,5,26.19,27.56,-1.37
1,1950,6,26.47,27.21,-0.74
2,1950,7,26.28,26.72,-0.44
3,1950,8,25.88,26.3,-0.42
4,1950,9,25.73,26.14,-0.41
5,1950,10,25.68,26.01,-0.32
6,1950,11,25.46,26.06,-0.6
7,1950,12,25.29,26.18,-0.88
8,1951,1,25.26,26.18,-0.92
9,1951,2,25.72,26.39,-0.66
10,1951,3,26.91,26.95,-0.04
11,1951,4,27.59,27.39,0.2
12,1951,5,27.93,27.56,0.37
13,1951,6,27.73,27.21,0.52
14,1951,7,27.59,26.72,0.87
15,1951,8,27.01,26.3,0.71
16,1951,9,27.22,26.14,1.08
17,1951,10,27.2,26.01,1.19
18,1951,11,27.25,26.06,1.19
19,1951,12,26.92,26.18,0.74
20,1952,1,26.67,26.18,0.49
21,1952,2,26.75,26.39,0.37
22,1952,3,27.19,26.95,0.24
23,1952,4,27.81,27.39,0.42
24,1952,5,27.79,27.56,0.23
25,1952,6,27.18,27.21,-0.03
26,1952,7,26.52,26.72,-0.2
27,1952,8,26.3,26.3,-0.0
28,1952,9,26.35,26.14,0.21
29,1952,10,26.25,26.01,0.25
30,1952,11,25.92,26.06,-0.14
31,1952,12,26.21,26.18,0.03
32,1953,1,26.74,26.18,0.56
33,1953,2,27.0,26.39,0.61
34,1953,3,27.57,26.95,0.62
35,1953,4,28.03,27.39,0.64
36,1953,5,28.28,27.56,0.71
37,1953,6,28.12,27.21,0.9
38,1953,7,27.42,26.72,0.7
39,1953,8,26.93,26.3,0.63
40,1953,9,27.0,26.14,0.85
41,1953,10,26.87,26.01,0.86
42,1953,11,26.88,26.06,0.82
43,1953,12,27.01,26.18,0.83
44,1954,1,26.98,26.18,0.8
45,1954,2,27.03,26.39,0.64
46,1954,3,26.91,26.95,-0.04
47,1954,4,26.65,27.39,-0.74
48,1954,5,27.11,27.56,-0.45
49,1954,6,26.79,27.21,-0.42
50,1954,7,26.1,26.72,-0.62
51,1954,8,25.42,26.3,-0.88
52,1954,9,25.11,26.14,-1.03
53,1954,10,25.22,26.01,-0.78
54,1954,11,25.56,26.06,-0.5
55,1954,12,25.26,26.18,-0.91
56,1955,1,25.62,26.18,-0.56
57,1955,2,25.82,26.39,-0.57
58,1955,3,26.23,26.95,-0.72
59,1955,4,26.61,27.39,-0.78
60,1955,5,26.65,27.56,-0.91
61,1955,6,26.54,27.21,-0.67
62,1955,7,26.14,26.72,-0.58
63,1955,8,25.5,26.3,-0.8
64,1955,9,25.28,26.14,-0.87
65,1955,10,24.41,26.01,-1.6
66,1955,11,24.25,26.06,-1.81
67,1955,12,24.57,26.18,-1.61
68,1956,1,25.34,26.33,-0.99
69,1956,2,25.77,26.51,-0.74
70,1956,3,26.47,27.01,-0.54
71,1956,4,26.86,27.46,-0.6
72,1956,5,27.13,27.59,-0.46
73,1956,6,26.81,27.29,-0.48
74,1956,7,26.22,26.8,-0.58
75,1956,8,25.67,26.32,-0.65
76,1956,9,25.72,26.15,-0.43
77,1956,10,25.74,26.03,-0.29
78,1956,11,25.56,26.1,-0.54
79,1956,12,25.71,26.18,-0.47
80,1957,1,26.04,26.33,-0.29
81,1957,2,26.54,26.51,0.02
82,1957,3,27.46,27.01,0.45
83,1957,4,28.23,27.46,0.77
84,1957,5,28.54,27.59,0.94
85,1957,6,28.35,27.29,1.05
86,1957,7,28.15,26.8,1.34
87,1957,8,27.68,26.32,1.36
88,1957,9,27.42,26.15,1.27
89,1957,10,27.41,26.03,1.37
90,1957,11,27.62,26.1,1.52
